Hotel Name,08/12/2015 && 1,08/12/2015 && 2,08/12/2015 && 3,08/12/2015 && 4,08/13/2015 && 1,08/13/2015 && 2,08/13/2015 && 3,08/13/2015 && 4,08/19/2015 && 1,08/19/2015 && 2,08/19/2015 && 3,08/19/2015 && 4,08/26/2015 && 1,08/26/2015 && 2,08/26/2015 && 3,08/26/2015 && 4,08/27/2015 && 1,08/27/2015 && 2,08/27/2015 && 3,08/27/2015 && 4,08/28/2015 && 1,08/28/2015 && 2,08/28/2015 && 3,08/28/2015 && 4,09/09/2015 && 1,09/09/2015 && 2,09/09/2015 && 3,09/09/2015 && 4,09/10/2015 && 1,09/10/2015 && 2,09/10/2015 && 3,09/10/2015 && 4,09/11/2015 && 1,09/11/2015 && 2,09/11/2015 && 3,09/11/2015 && 4,09/16/2015 && 1,09/16/2015 && 2,09/16/2015 && 3,09/16/2015 && 4,09/17/2015 && 1,09/17/2015 && 2,09/17/2015 && 3,09/17/2015 && 4,09/18/2015 && 1,09/18/2015 && 2,09/18/2015 && 3,09/18/2015 && 4,09/30/2015 && 1,09/30/2015 && 2,09/30/2015 && 3,09/30/2015 && 4,10/01/2015 && 1,10/01/2015 && 2,10/01/2015 && 3,10/01/2015 && 4,10/02/2015 && 1,10/02/2015 && 2,10/02/2015 && 3,10/02/2015 && 4,10/07/2015 && 1,10/07/2015 && 2,10/07/2015 && 3,10/07/2015 && 4,10/14/2015 && 1,10/14/2015 && 2,10/14/2015 && 3,10/14/2015 && 4,10/15/2015 && 1,10/15/2015 && 2,10/15/2015 && 3,10/15/2015 && 4,10/16/2015 && 1,10/16/2015 && 2,10/16/2015 && 3,10/16/2015 && 4,10/21/2015 && 1,10/21/2015 && 2,10/21/2015 && 3,10/21/2015 && 4,10/22/2015 && 1,10/22/2015 && 2,10/22/2015 && 3,10/22/2015 && 4,10/27/2015 && 1,10/27/2015 && 2,10/27/2015 && 3,10/27/2015 && 4,10/28/2015 && 1,10/28/2015 && 2,10/28/2015 && 3,10/28/2015 && 4,10/29/2015 && 1,10/29/2015 && 2,10/29/2015 && 3,10/29/2015 && 4,10/30/2015 && 1,10/30/2015 && 2,10/30/2015 && 3,10/30/2015 && 4,11/03/2015 && 1,11/03/2015 && 2,11/03/2015 && 3,11/03/2015 && 4,11/04/2015 && 1,11/04/2015 && 2,11/04/2015 && 3,11/04/2015 && 4,11/05/2015 && 1,11/05/2015 && 2,11/05/2015 && 3,11/05/2015 && 4,11/06/2015 && 1,11/06/2015 && 2,11/06/2015 && 3,11/06/2015 && 4,11/07/2015 && 1,11/07/2015 && 2,11/07/2015 && 3,11/07/2015 && 4,11/10/2015 && 1,11/10/2015 && 2,11/10/2015 && 3,11/10/2015 && 4,11/11/2015 && 1,11/11/2015 && 2,11/11/2015 && 3,11/11/2015 && 4,11/12/2015 && 1,11/12/2015 && 2,11/12/2015 && 3,11/12/2015 && 4,11/13/2015 && 1,11/13/2015 && 2,11/13/2015 && 3,11/13/2015 && 4,11/18/2015 && 1,11/18/2015 && 2,11/18/2015 && 3,11/18/2015 && 4,11/21/2015 && 1,11/21/2015 && 2,11/21/2015 && 3,11/21/2015 && 4,11/25/2015 && 1,11/25/2015 && 2,11/25/2015 && 3,11/25/2015 && 4,11/26/2015 && 1,11/26/2015 && 2,11/26/2015 && 3,11/26/2015 && 4,11/27/2015 && 1,11/27/2015 && 2,11/27/2015 && 3,11/27/2015 && 4,11/28/2015 && 1,11/28/2015 && 2,11/28/2015 && 3,11/28/2015 && 4
Aloft Harlem,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.471766848816031,10.01821493624773,0.0,-1.0,-1.0,-1.0,-1.0,14.025500910746814,14.025500910746814,14.025500910746814,14.025500910746814,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.043715846994544,32.05828779599271,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.7304189435337,61.56648451730419,71.5846994535519,-1.0,-1.0,53.916211293260474,-1.0,71.5846994535519,-1.0,32.05828779599271,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.9016393442623,-1.0,34.06193078324226,-1.0,47.54098360655738,-1.0,-1.0,-1.0,43.169398907103826,-1.0,-1.0,42.258652094717675,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.87795992714025,-1.0,-1.0,-1.0,21.493624772313296,-1.0,-1.0,-1.0,59.92714025500911,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Andaz 5th Avenue - a concept by Hyatt,-1.0,-1.0,20.311526479750782,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,42.92834890965732,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.875389408099693,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99.4392523364486,-1.0,62.679127725856695,-1.0,-1.0,-1.0,52.087227414330215,73.27102803738318,67.66355140186916,-1.0,-1.0,-1.0,79.12772585669782,87.91277258566979,48.41121495327103,59.81308411214953,64.29906542056074,96.32398753894081,39.68847352024922,74.51713395638629,52.21183800623053,42.80373831775701,-1.0,71.4018691588785,73.27102803738318,-1.0,52.71028037383178,63.925233644859816,96.32398753894081,89.47040498442368,50.218068535825545,-1.0,70.77881619937695,57.07165109034268,-1.0,78.8785046728972,-1.0,-1.0,-1.0,68.28660436137072,-1.0,-1.0,72.02492211838006,-1.0,-1.0,-1.0,53.333333333333336,-1.0,89.47040498442368,-1.0,-1.0,64.04984423676012,-1.0,-1.0,45.29595015576324,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.41121495327103,49.40809968847352,-1.0,-1.0,48.97196261682243,89.47040498442368,-1.0,-1.0,34.0809968847352,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.361370716510905,64.54828660436138,65.17133956386293,53.45794392523364,40.87227414330218,-1.0,-1.0,-1.0,45.109034267912776,-1.0,-1.0,42.49221183800623,-1.0,-1.0,78.94080996884735,73.58255451713396,-1.0,-1.0,-1.0,-1.0,-1.0,40.06230529595015,64.54828660436138,-1.0,44.04984423676012,33.5202492211838,42.55451713395639,45.29595015576324,33.14641744548287,34.95327102803738,31.71339563862928,55.32710280373832,-1.0,-1.0,-1.0,-1.0,-1.0,10.155763239875384,9.34579439252336,0.8722741433021781,-1.0,10.155763239875384,47.601246105919,47.601246105919,43.613707165109034,-1.0,52.46105919003115,-1.0,-1.0,89.65732087227414,45.981308411214954,69.96884735202492,96.26168224299066,51.21495327102804,78.81619937694704,100.0
Andaz Wall Street - a concept by Hyatt,22.47838616714698,20.172910662824208,21.902017291066286,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.95100864553315,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.76945244956772,-1.0,-1.0,59.07780979827089,38.616714697406344,39.76945244956772,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.43227665706052,52.449567723342945,51.29682997118156,-1.0,52.449567723342945,54.46685878962536,50.14409221902017,50.720461095100866,-1.0,-1.0,38.616714697406344,100.0,-1.0,41.325648414985594,-1.0,32.27665706051873,-1.0,-1.0,40.7492795389049,-1.0,76.94524495677234,-1.0,79.2507204610951,-1.0,37.46397694524496,54.75504322766571,53.31412103746398,-1.0,-1.0,32.79538904899135,-1.0,50.43227665706052,-1.0,-1.0,-1.0,-1.0,54.75504322766571,39.76945244956772,54.46685878962536,60.518731988472624,44.668587896253605,47.55043227665706,45.533141210374644,47.83861671469741,-1.0,60.518731988472624,-1.0,65.99423631123919,40.05763688760807,31.700288184438037,49.85590778097983,57.06051873198847,41.78674351585015,45.99423631123919,47.55043227665706,-1.0,51.29682997118156,50.14409221902017,34.5821325648415,-1.0,67.72334293948127,55.61959654178675,62.53602305475504,69.7406340057637,-1.0,34.5821325648415,50.14409221902017,-1.0,32.27665706051873,31.700288184438037,28.242074927953894,-1.0,32.85302593659942,-1.0,-1.0,20.172910662824208,-1.0,-1.0,34.5821325648415,-1.0,-1.0,21.72910662824208,32.91066282420749,37.11815561959654,5.936599423631122,19.020172910662822,26.22478386167147,-1.0,21.72910662824208,24.553314121037474,19.596541786743515,8.760806916426517,29.39481268011528,49.56772334293948,30.02881844380404,-1.0,4.610951008645543,-1.0,-1.0,-1.0,-1.0,1.1527377521613857,0.0,2.017291066282425,2.190201729106633,3.1123919308357415,0.8645533141210393,-1.0,18.731988472622476,23.400576368876088,9.39481268011528,7.089337175792508,62.88184438040346,29.33717579250721,22.824207492795395,46.68587896253602,44.610951008645536,34.75504322766571,-1.0,-1.0
Baccarat Hotel and Residences New York,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.389610389610382,-1.0,-1.0,-1.0,10.389610389610382,-1.0,-1.0,-1.0,3.896103896103895,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.298701298701289,-1.0,-1.0,-1.0,-1.0,85.71428571428571,85.71428571428571,35.06493506493506,-1.0,-1.0,-1.0,-1.0
Bentley Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.290505432215397,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97.07132735002362,-1.0,-1.0,-1.0,-1.0,-1.0,25.366084081247052,25.27161076995749,24.846480869154462,24.610297590930557,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.06188001889466,-1.0,-1.0,43.930089749645724,48.228625413320735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.926783183750587,12.75389702409069,12.517713745866786,14.690599905526682,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,29.286726499763816,-1.0,-1.0,54.55833726972131,55.40859707132735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.147850732168166,-1.0
Best Western Bayside Inn,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,96.91629955947137,-1.0,-1.0,85.46255506607929,-1.0,-1.0,74.44933920704847,-1.0,-1.0,-1.0,-1.0,84.14096916299559,71.80616740088107,-1.0,-1.0,83.25991189427313,-1.0,-1.0,-1.0,52.863436123348016,-1.0,-1.0,-1.0,71.80616740088107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.80616740088107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.95594713656388,51.10132158590309,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.10132158590309,-1.0,29.95594713656388,40.528634361233486,8.810572687224678,-1.0,-1.0,69.60352422907489,58.590308370044056,-1.0,-1.0,45.81497797356828,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.264317180616743,30.396475770925107,0.0,-1.0,-1.0,61.67400881057269,-1.0,-1.0,-1.0,25.550660792951547,70.48458149779736,-1.0,18.06167400881057,44.05286343612335,66.07929515418502,-1.0,-1.0,-1.0,-1.0,-1.0
Best Western Bowery Hanbee Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.48223350253807,65.2284263959391,-1.0,-1.0,72.58883248730965,65.48223350253807,-1.0,-1.0,77.66497461928934,-1.0,-1.0,-1.0,-1.0,75.25380710659898,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,76.6497461928934,82.61421319796955,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.3756345177665,57.74111675126904,-1.0,-1.0,77.53807106598985,77.53807106598985,-1.0,-1.0,-1.0,68.4010152284264,-1.0,-1.0,-1.0,68.02030456852792,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.81218274111676,-1.0,68.65482233502539,70.81218274111676,66.49746192893402,-1.0,-1.0,77.53807106598985,77.53807106598985,-1.0,-1.0,-1.0,68.4010152284264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.350253807106604,56.7258883248731,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.269035532994934,0.0,0.2538071065989982,1.649746192893403,11.040609137055839,15.48223350253808,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.685279187817258,15.48223350253808
Best Western Plus Arena Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.974203338391504,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.04400606980273,100.0,-1.0,-1.0,86.6464339908953,71.16843702579666,67.22306525037936,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.09408194233687,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.356600910470405,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.92412746585736,-1.0,-1.0,29.59028831562975,0.0,-1.0,-1.0
Best Western Plus Newark Airport West,60.37735849056604,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.47798742138365,26.41509433962264,-1.0,-1.0,47.16981132075472,-1.0,-1.0,-1.0,52.83018867924528,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.9937106918239,-1.0,-1.0,-1.0,-1.0,50.943396226415096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.89308176100629,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.28301886792453,-1.0,-1.0,-1.0,-1.0,35.84905660377359,24.528301886792462,-1.0,-1.0,24.528301886792462,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.61006289308176,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.352201257861637,27.672955974842765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.754716981132077,-1.0,-1.0,8.80503144654088,20.125786163522022,-1.0,-1.0,-1.0,18.23899371069183,-1.0,-1.0
Blakely New York,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,86.48409893992932,81.00706713780919,64.48763250883391,86.48409893992932,64.48763250883391,75.53003533568905,81.00706713780919,64.48763250883391,77.91519434628975,77.8268551236749,73.0565371024735,77.8268551236749,82.15547703180212,82.15547703180212,100.0,82.15547703180212,-1.0,-1.0,-1.0,-1.0,82.15547703180212,82.15547703180212,82.15547703180212,82.15547703180212,-1.0,-1.0,90.10600706713781,-1.0,-1.0,81.44876325088339,92.40282685512368,-1.0,-1.0,-1.0,-1.0,-1.0,38.16254416961131,-1.0,38.16254416961131,35.60070671378092,-1.0,-1.0,-1.0,-1.0,-1.0,39.75265017667844,39.840989399293285,38.957597173144876,39.75265017667844,39.75265017667844,39.840989399293285,37.102473498233216,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.038869257950523,8.127208480565372,8.127208480565372,8.127208480565372,9.717314487632507,9.717314487632507,9.717314487632507,8.83392226148409,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
